index,name,artist,release_date,length,popularity,danceability
235,I Wanna Be Sedated,Ramones,1978,2.496433333,66,0.56
236,It's Only Rock'n'Roll (But I Like It) - Remastered 2009,The Rolling Stones,1974,5.124,57,0.616
237,White Wedding - Pt. 1,Billy Idol,1982,4.203333333,69,0.673
238,Sabotage,Beastie Boys,1994,2.974,72,0.324
239,Brown Eyed Girl,Van Morrison,1967,3.0551,79,0.491
240,Somebody To Love - Remastered 2011,Queen,1976,4.94155,68,0.497
241,Rockin' in the Free World,Neil Young,1989,4.69755,66,0.491
242,Uprising,Muse,2009,5.080666667,76,0.602
243,Fake Plastic Trees,Radiohead,1995,4.8451,69,0.454
244,Train in Vain (Stand by Me) - Remastered,The Clash,1979,3.244433333,65,0.761
245,Lightning Crashes,Live,1994,5.426666667,67,0.385
246,Wake Me up When September Ends,Green Day,2004,4.760883333,77,0.546
247,Be My Baby,The Ronettes,2011,2.681766667,70,0.511
248,Get Back - Remastered 2009,The Beatles,1970,3.156433333,64,0.761
249,Are You Gonna Go My Way,Lenny Kravitz,1993,3.532216667,73,0.619
250,Hey You,Pink Floyd,1979,4.640666667,68,0.588
251,Under My Thumb,The Rolling Stones,1966,3.692216667,64,0.732
252,Behind Blue Eyes,The Who,1971,3.690433333,70,0.394
253,Instant Karma! (We All Shine On) - Remastered 2010,John Lennon,2010,3.344216667,57,0.628
254,Help! - Remastered 2009,The Beatles,1965,2.326,72,0.534
255,Dancing Queen,ABBA,1976,3.844883333,61,0.539
256,Barracuda,Heart,1977,4.36555,74,0.547
257,Today - Remastered,The Smashing Pumpkins,1993,3.352883333,61,0.457
258,Radar Love,Golden Earring,2008,6.4451,63,0.504
259,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972,4.69355,82,0.601
260,Champagne Supernova - Remastered,Oasis,1995,7.522,65,0.294
261,Beds Are Burning - Remastered,Midnight Oil,1997,4.302883333,63,0.754
262,Brass in Pocket - 2006 Remaster,Pretenders,1980,3.099333333,66,0.751
263,Piece of My Heart,Big Brother & The Holding Company,1968,4.222216667,68,0.443
264,Tangled up in Blue,Bob Dylan,1975,5.693766667,65,0.421
265,My Sweet Lord - Remastered 2014,George Harrison,1970,4.6871,76,0.537
266,The Joker,Steve Miller Band,1973,4.408383333,76,0.596
267,American Woman,The Guess Who,1970,5.124883333,64,0.55
268,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,1995,4.307766667,72,0.404
269,Would?,Alice In Chains,1992,3.446216667,71,0.305
270,Heart-Shaped Box,Nirvana,1993,4.686,75,0.256
271,Closer,Nine Inch Nails,1994,6.221766667,60,0.546
272,Sober,TOOL,1993,5.114216667,68,0.385
273,Magic Carpet Ride,Steppenwolf,1968,4.526216667,70,0.64
274,Rock You Like A Hurricane,Scorpions,1984,4.208216667,1,0.482
275,Last Nite,The Strokes,2001,3.222883333,64,0.624
276,Fat Bottomed Girls - Remastered 2011,Queen,1978,4.26,65,0.337
277,The Middle,Jimmy Eat World,2001,2.764216667,78,0.643
278,Heroes - 2017 Remaster,David Bowie,1977,6.190216667,75,0.49
279,Dancing In the Dark,Bruce Springsteen,1984,4.021766667,77,0.527
280,Touch Me,The Doors,1969,3.170883333,64,0.425
281,Louie Louie,The Kingsmen,2006,2.75635,66,0.623
282,Life in the Fast Lane - 2013 Remaster,Eagles,1976,4.770316667,72,0.667
283,Come Out And Play (Keep ‘Em Separated),The Offspring,2005,3.296666667,69,0.476
284,Moondance - 2013 Remaster,Van Morrison,1970,4.567333333,69,0.606
